id,product,city,latitude,longitude,price
436,Diesel,DEVARPALLI WEST GODAVARI,17.035,81.564,85.63
437,Petrol,DOMMERU,17.02,81.665,99.75
438,Diesel,DOMMERU,17.02,81.665,88.04
439,Petrol,RAGHUDEVAPURAM,17.158,81.704,99.76
440,Diesel,RAGHUDEVAPURAM,17.158,81.704,88.13
441,Petrol,DONDAPUDI,17.211,81.553,99.76
442,Diesel,DONDAPUDI,17.211,81.553,88.26
443,Petrol,Peddapurapadu,16.832,82.134,99.76
444,Diesel,Peddapurapadu,16.832,82.134,88.26
445,Petrol,DOWELESWARAM,16.945,81.782,98.23
446,Diesel,DOWELESWARAM,16.945,81.782,86.81
447,Petrol,DRAKSHARAMA,16.79,82.065,99.78
448,Diesel,DRAKSHARAMA,16.79,82.065,88.07
449,Petrol,DUBACHERLA,16.915,81.361,99.78
450,Diesel,DUBACHERLA,16.915,81.361,88.25
451,Petrol,RAJAHMAHENDRAVA,17.006,81.777,99.78
452,Diesel,RAJAHMAHENDRAVA,17.006,81.777,88.07
453,Petrol,DULLA,16.859,81.863,99.79
454,Diesel,DULLA,16.859,81.863,88.16
455,Petrol,Ernagudem Village,16.984,81.466,99.79
456,Diesel,Ernagudem Village,16.984,81.466,88.04
457,Petrol,ETHAKOTA,16.697,81.846,99.79
458,Diesel,ETHAKOTA,16.697,81.846,88.3
459,Petrol,Gandepalli,17.141,81.975,99.8
460,Diesel,Gandepalli,17.141,81.975,88.29
461,Petrol,Gogganamatam,16.445,81.946,98.73
462,Diesel,Gogganamatam,16.445,81.946,87.33
463,Petrol,GOKAVARAM,17.264,81.847,98.31
464,Diesel,GOKAVARAM,17.264,81.847,86.95
465,Petrol,GOLLAPROLU,17.148,82.28,99.81
466,Diesel,GOLLAPROLU,17.148,82.28,88.32
467,Petrol,RAJANAGARAM,17.077,81.894,100.31
468,Diesel,RAJANAGARAM,17.077,81.894,85.32
469,Petrol,GOWRIPATNAM,17.03,81.612,100.31
470,Diesel,GOWRIPATNAM,17.03,81.612,85.24
471,Petrol,I PANGIDI,17.019,81.636,100.31
472,Diesel,I PANGIDI,17.019,81.636,85.32
473,Petrol,KAKINADA,16.762,81.843,100.31
474,Diesel,KAKINADA,16.762,81.843,85.32
475,Petrol,PERAVALI,16.749,81.736,100.31
476,Diesel,PERAVALI,16.749,81.736,85.32
477,Petrol,NIDADAVOLE,16.909,81.673,99.53
478,Diesel,NIDADAVOLE,16.909,81.673,84.6
479,Petrol,KATAVARAM,17.118,81.73,100.34
480,Diesel,KATAVARAM,17.118,81.73,85.33
481,Petrol,POTHAVARAM,17.021,81.414,100.34
482,Diesel,POTHAVARAM,17.021,81.414,85.33
483,Petrol,RANGAMPET,17.088,81.983,100.34
484,Diesel,RANGAMPET,17.088,81.983,85.33
